time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/value_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/policy_loss,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean
30848,4,7467,482,0.7747148275375366,2.1313178539276123,0.0007,-2.08660626411438,481,1.1626927852630615,-17.778636080000002,0.0,150.0
30912,4,7470,483,0.7550470232963562,1.4602992534637451,0.0007,-2.087895631790161,482,-0.12759257853031158,-17.778636080000002,0.0,150.0
30976,4,7473,484,0.730437159538269,1.2007437944412231,0.0007,-2.0997374057769775,483,-0.41437506675720215,-17.778636080000002,0.0,150.0
31040,4,7475,485,-3.025784492492676,1.4931261539459229,0.0007,-2.0988094806671143,484,0.7495255470275879,-17.778636080000002,0.0,150.0
31104,4,7477,486,-0.1810084581375122,2.8873636722564697,0.0007,-2.1081862449645996,485,0.9953135848045349,-17.778636080000002,0.0,150.0
31168,4,7480,487,0.16571849584579468,0.8141553997993469,0.0007,-2.1150248050689697,486,-1.3284964561462402,-17.778636080000002,0.0,150.0
31232,4,7483,488,0.15245211124420166,0.7261182069778442,0.0007,-2.1243810653686523,487,-1.1181137561798096,-17.79213671,0.0,150.0
31296,4,7486,489,0.9868742823600769,0.2663296163082123,0.0007,-2.1127877235412598,488,-0.1493140161037445,-17.79213671,0.0,150.0
31360,4,7489,490,0.2942713499069214,1.644881248474121,0.0007,-2.0936532020568848,489,-1.6848863363265991,-17.79213671,0.0,150.0
31424,4,7492,491,0.570244550704956,4.318849563598633,0.0007,-2.103695869445801,490,1.4328407049179077,-17.79213671,0.0,150.0
31488,4,7495,492,0.8252233862876892,2.6708920001983643,0.0007,-2.107257843017578,491,1.2024896144866943,-17.79213671,0.0,150.0
31552,4,7498,493,0.9388507604598999,1.0142982006072998,0.0007,-2.1095099449157715,492,-1.5191489458084106,-17.79213671,0.0,150.0
31616,4,7499,494,-0.28168725967407227,5.0947465896606445,0.0007,-2.1129722595214844,493,2.2425782680511475,-17.79213671,0.0,150.0
31680,4,7502,495,-0.19306576251983643,1.4483534097671509,0.0007,-2.117626428604126,494,-0.8241778612136841,-17.79213671,0.0,150.0
31744,4,7505,496,-0.22813332080841064,0.8813834190368652,0.0007,-2.1341660022735596,495,-1.1837830543518066,-17.79213671,0.0,150.0
31808,4,7508,497,-0.00725245475769043,1.251039743423462,0.0007,-2.144533157348633,496,-1.8283684253692627,-17.886852819999998,0.0,150.0
31872,4,7511,498,0.9518365859985352,0.8912822604179382,0.0007,-2.1455955505371094,497,-1.3062931299209595,-17.886852819999998,0.0,150.0
31936,4,7514,499,0.8478430509567261,0.5318750739097595,0.0007,-2.104098081588745,498,-0.5711490511894226,-17.886852819999998,0.0,150.0
32000,4,7517,500,0.7386140823364258,0.8039489984512329,0.0007,-2.1069934368133545,499,0.21239720284938812,-17.886852819999998,0.0,150.0
32064,4,7520,501,0.5849124789237976,2.1753034591674805,0.0007,-2.13047194480896,500,1.1292285919189453,-17.886852819999998,0.0,150.0
32128,4,7523,502,0.04892212152481079,2.4622087478637695,0.0007,-2.1259894371032715,501,-0.7834910154342651,-17.886852819999998,0.0,150.0
32192,4,7526,503,0.45500051975250244,3.3537535667419434,0.0007,-2.12410044670105,502,1.6056544780731201,-17.886852819999998,0.0,150.0
32256,4,7530,504,0.11922228336334229,2.4624578952789307,0.0007,-2.1203231811523438,503,0.9800161123275757,-17.886852819999998,0.0,150.0
32320,4,7533,505,-0.40027379989624023,3.684946060180664,0.0007,-2.115064859390259,504,0.048309579491615295,-17.886852819999998,0.0,150.0
32384,4,7536,506,0.06382900476455688,1.018406867980957,0.0007,-2.128784656524658,505,-1.7619738578796387,-17.886852819999998,0.0,150.0
32448,4,7539,507,0.01773279905319214,0.9636815786361694,0.0007,-2.124939203262329,506,-1.7978007793426514,-17.7858335,0.0,150.0
32512,4,7543,508,0.9683166146278381,0.35251468420028687,0.0007,-2.1222071647644043,507,-0.0871947631239891,-17.7858335,0.0,150.0
32576,4,7545,509,0.8100825548171997,0.39869892597198486,0.0007,-2.1066880226135254,508,-0.7851400375366211,-17.7858335,0.0,150.0
32640,4,7548,510,0.8390506505966187,0.3308609127998352,0.0007,-2.1039302349090576,509,0.10113013535737991,-17.7858335,0.0,150.0
32704,4,7551,511,0.45369672775268555,2.9552323818206787,0.0007,-2.1003875732421875,510,1.4954640865325928,-17.7858335,0.0,150.0
32768,4,7552,512,0.863265872001648,1.087215542793274,0.0007,-2.106912136077881,511,1.1378086805343628,-17.7858335,0.0,150.0
32832,4,7555,513,0.9307523965835571,0.2594740688800812,0.0007,-2.1170945167541504,512,-0.44625598192214966,-17.7858335,0.0,150.0
32896,4,7558,514,-0.1320568323135376,2.1801950931549072,0.0007,-2.114138603210449,513,0.02608734369277954,-17.7858335,0.0,150.0
32960,4,7561,515,0.7531325817108154,0.14191490411758423,0.0007,-2.1095075607299805,514,-0.15767216682434082,-17.7858335,0.0,150.0
33024,4,7563,516,0.5534749031066895,0.4274325668811798,0.0007,-2.127810001373291,515,-1.0751752853393555,-17.78115012,0.0,150.0
33088,4,7565,517,0.9896429777145386,0.20129917562007904,0.0007,-2.1278932094573975,516,-0.5947931408882141,-17.78115012,0.0,150.0
33152,4,7568,518,0.7847486734390259,0.742745041847229,0.0007,-2.1227729320526123,517,-0.5495102405548096,-17.78115012,0.0,150.0
33216,4,7571,519,0.47370123863220215,1.297329068183899,0.0007,-2.112788438796997,518,0.7120320200920105,-17.78115012,0.0,150.0
33280,4,7574,520,0.8920398950576782,0.1690252125263214,0.0007,-2.1008095741271973,519,-0.21328029036521912,-17.78115012,0.0,150.0
33344,4,7577,521,0.6188117265701294,1.118236780166626,0.0007,-2.10172438621521,520,-0.49058306217193604,-17.78115012,0.0,150.0
33408,4,7580,522,0.26636195182800293,1.4702420234680176,0.0007,-2.1254563331604004,521,1.0005919933319092,-17.78115012,0.0,150.0
33472,4,7583,523,0.24842941761016846,0.33513009548187256,0.0007,-2.128338575363159,522,0.5911726951599121,-17.78115012,0.0,150.0
33536,4,7586,524,-0.08996057510375977,0.6078336834907532,0.0007,-2.1354501247406006,523,-0.35825952887535095,-17.78115012,0.0,150.0
33600,4,7589,525,-0.01282191276550293,0.5468959808349609,0.0007,-2.127274513244629,524,0.6614165306091309,-17.699512820000002,0.0,150.0
33664,4,7592,526,-0.007023811340332031,0.9379228353500366,0.0007,-2.146597385406494,525,-0.9892410635948181,-17.699512820000002,0.0,150.0
33728,4,7595,527,0.6549372673034668,1.111215591430664,0.0007,-2.0997366905212402,526,1.3016811609268188,-17.699512820000002,0.0,150.0
33792,4,7598,528,0.633242666721344,0.7071293592453003,0.0007,-2.1004817485809326,527,0.6013045907020569,-17.699512820000002,0.0,150.0
33856,4,7601,529,0.5077032446861267,0.8093085289001465,0.0007,-2.1091270446777344,528,-1.2573734521865845,-17.699512820000002,0.0,150.0
33920,4,7604,530,-0.025014400482177734,0.5993225574493408,0.0007,-2.1123340129852295,529,-0.6322487592697144,-17.699512820000002,0.0,150.0
33984,4,7606,531,0.145050048828125,0.4197317659854889,0.0007,-2.1101036071777344,530,-0.41730594635009766,-17.699512820000002,0.0,150.0
34048,4,7609,532,0.5258868932723999,0.22719499468803406,0.0007,-2.104093551635742,531,-0.13173075020313263,-17.699512820000002,0.0,150.0
34112,4,7612,533,0.672585129737854,0.11715607345104218,0.0007,-2.1107122898101807,532,-0.2946298122406006,-17.699512820000002,0.0,150.0
34176,4,7614,534,0.17932718992233276,0.2746754586696625,0.0007,-2.1105947494506836,533,-0.33109015226364136,-17.699512820000002,0.0,150.0
34240,4,7615,535,0.03099513053894043,0.5650928020477295,0.0007,-2.119980573654175,534,-1.168850302696228,-17.6061115,0.0,150.0
34304,4,7617,536,0.9767808318138123,0.3182368278503418,0.0007,-2.09844970703125,535,-0.009334079921245575,-17.6061115,0.0,150.0
34368,4,7619,537,0.3981262445449829,1.604682207107544,0.0007,-2.0896615982055664,536,1.2536823749542236,-17.6061115,0.0,150.0
34432,4,7622,538,0.8138337135314941,1.6242163181304932,0.0007,-2.09230375289917,537,-0.6248087882995605,-17.6061115,0.0,150.0
34496,4,7624,539,0.8502652645111084,2.2502784729003906,0.0007,-2.0923867225646973,538,1.2430206537246704,-17.6061115,0.0,150.0
34560,4,7627,540,0.7938250303268433,1.6442444324493408,0.0007,-2.0911920070648193,539,-1.3900198936462402,-17.6061115,0.0,150.0
34624,4,7629,541,0.7896301746368408,0.7648525238037109,0.0007,-2.0965468883514404,540,-0.8503152132034302,-17.6061115,0.0,150.0
34688,4,7632,542,0.7983315587043762,0.386304646730423,0.0007,-2.108569860458374,541,-0.8952386975288391,-17.6061115,0.0,150.0
34752,4,7635,543,0.43255865573883057,1.0860569477081299,0.0007,-2.128438949584961,542,0.0978456437587738,-17.6061115,0.0,150.0
34816,4,7638,544,0.47997498512268066,0.43281129002571106,0.0007,-2.137235403060913,543,-0.5733435153961182,-17.65646296,0.0,150.0
34880,4,7640,545,0.98772132396698,0.4740073084831238,0.0007,-2.131484031677246,544,-1.0558419227600098,-17.65646296,0.0,150.0
34944,4,7642,546,0.8584555387496948,0.5796724557876587,0.0007,-2.0998921394348145,545,-1.236945390701294,-17.65646296,0.0,150.0
35008,4,7645,547,0.7585309147834778,0.5528571605682373,0.0007,-2.0975165367126465,546,-0.1623082011938095,-17.65646296,0.0,150.0
35072,4,7647,548,0.8659799098968506,0.5695819854736328,0.0007,-2.090439796447754,547,0.5349798798561096,-17.65646296,0.0,150.0
35136,4,7648,549,0.9296425580978394,0.42139875888824463,0.0007,-2.1074767112731934,548,0.29275983572006226,-17.65646296,0.0,150.0
35200,4,7650,550,0.8173263669013977,1.728646993637085,0.0007,-2.109551191329956,549,1.044158935546875,-17.65646296,0.0,150.0
35264,4,7652,551,0.8894137144088745,1.1412405967712402,0.0007,-2.115945816040039,550,0.0745030865073204,-17.65646296,0.0,150.0
35328,4,7654,552,0.9003045558929443,0.8383151292800903,0.0007,-2.1184980869293213,551,0.00045493990182876587,-17.65646296,0.0,150.0
35392,4,7656,553,0.6385364532470703,3.234999656677246,0.0007,-2.115176200866699,552,0.5891949534416199,-17.65646296,0.0,150.0
35456,4,7658,554,0.9092124104499817,0.37786969542503357,0.0007,-2.1193695068359375,553,-0.8146752715110779,-17.18268298,0.0,150.0
35520,4,7660,555,0.9392889738082886,0.9532632827758789,0.0007,-2.093269109725952,554,-0.8664032220840454,-17.18268298,0.0,150.0
35584,4,7662,556,0.8049827814102173,2.347790002822876,0.0007,-2.097914457321167,555,1.243239402770996,-17.18268298,0.0,150.0
35648,4,7664,557,0.9022819995880127,2.099569320678711,0.0007,-2.1085662841796875,556,-1.007743000984192,-17.18268298,0.0,150.0
35712,4,7667,558,0.9874611496925354,0.16639675199985504,0.0007,-2.124990940093994,557,-0.1123974621295929,-17.18268298,0.0,150.0
35776,4,7670,559,0.7625524997711182,2.062204599380493,0.0007,-2.1317801475524902,558,-0.6978582143783569,-17.18268298,0.0,150.0
35840,4,7673,560,-0.10534894466400146,1.3246750831604004,0.0007,-2.13114333152771,559,-0.9768421649932861,-17.18268298,0.0,150.0
35904,4,7675,561,0.551933765411377,0.3703611493110657,0.0007,-2.138117790222168,560,-0.24089829623699188,-17.18268298,0.0,150.0
35968,4,7678,562,0.20007169246673584,5.160755157470703,0.0007,-2.148980140686035,561,1.5785188674926758,-17.18268298,0.0,150.0
36032,4,7680,563,0.41621339321136475,0.5447641611099243,0.0007,-2.158672571182251,562,-0.1839962899684906,-17.21789538,0.0,150.0
36096,4,7683,564,0.9892425537109375,0.25444841384887695,0.0007,-2.1247572898864746,563,-0.05186925828456879,-17.21789538,0.0,150.0
36160,4,7686,565,0.4488447308540344,3.078747272491455,0.0007,-2.11380672454834,564,1.5785882472991943,-17.21789538,0.0,150.0
36224,4,7689,566,0.850058913230896,1.3824963569641113,0.0007,-2.1252033710479736,565,-0.11913163214921951,-17.21789538,0.0,150.0
36288,4,7691,567,0.9703124165534973,0.4618791341781616,0.0007,-2.135498046875,566,-0.5228685140609741,-17.21789538,0.0,150.0
36352,4,7694,568,0.9752646684646606,0.6314337849617004,0.0007,-2.139415979385376,567,1.3872804641723633,-17.21789538,0.0,150.0
36416,4,7696,569,0.9281785488128662,1.1635522842407227,0.0007,-2.1469407081604004,568,1.4441871643066406,-17.21789538,0.0,150.0
