time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/policy_loss,train/entropy_loss,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean
8133,1275,10,81600,0.0007,0.737053394317627,0.6384099721908569,1274,-0.8144035935401917,-2.053934097290039,0.01,-13.78606186,150.0
8134,1276,10,81664,0.0007,0.8897266983985901,0.18049193918704987,1275,-0.45542478561401367,-2.0463929176330566,0.01,-13.78606186,150.0
8135,1277,10,81728,0.0007,0.2809542417526245,2.024462938308716,1276,-2.17433500289917,-1.9931707382202148,0.01,-13.78606186,150.0
8136,1278,10,81792,0.0007,0.17791831493377686,2.701784133911133,1277,1.0941345691680908,-2.023904323577881,0.01,-13.78606186,150.0
8137,1279,10,81856,0.0007,0.7557470202445984,0.6793609857559204,1278,1.0035854578018188,-2.0497074127197266,0.01,-13.78606186,150.0
8137,1280,10,81920,0.0007,0.8574537038803101,0.6251072883605957,1279,1.0876507759094238,-2.0794570446014404,0.01,-13.78606186,150.0
8138,1281,10,81984,0.0007,0.8771770000457764,0.5230023860931396,1280,0.22166289389133453,-2.0772619247436523,0.01,-13.78606186,150.0
8139,1282,10,82048,0.0007,0.8161005973815918,1.2329660654067993,1281,-0.7731695771217346,-2.0675718784332275,0.01,-13.78606186,150.0
8140,1283,10,82112,0.0007,0.6325721740722656,1.5331083536148071,1282,-0.27299413084983826,-2.0449466705322266,0.01,-13.78606186,150.0
8141,1284,10,82176,0.0007,-0.5173839330673218,0.691110372543335,1283,-1.0829243659973145,-2.0646188259124756,0.01,-13.78606186,150.0
8141,1285,10,82240,0.0007,-0.12835073471069336,0.6739242076873779,1284,-1.3586397171020508,-2.0377042293548584,0.01,-13.856646819999998,150.0
8142,1286,10,82304,0.0007,0.9947491884231567,0.29723796248435974,1285,-0.16610872745513916,-2.0168163776397705,0.01,-13.856646819999998,150.0
8142,1287,10,82368,0.0007,0.8322688341140747,2.7873294353485107,1286,-1.046079397201538,-2.0365676879882812,0.01,-13.856646819999998,150.0
8143,1288,10,82432,0.0007,0.9563885927200317,1.425562858581543,1287,-1.7058947086334229,-2.060302495956421,0.01,-13.856646819999998,150.0
8143,1289,10,82496,0.0007,0.9884775280952454,0.30922362208366394,1288,-0.6849641799926758,-2.0865871906280518,0.01,-13.856646819999998,150.0
8143,1290,10,82560,0.0007,0.7322523593902588,3.24906849861145,1289,0.706522524356842,-2.0964765548706055,0.01,-13.856646819999998,150.0
8144,1291,10,82624,0.0007,0.8940202593803406,0.8249349594116211,1290,-0.5979013442993164,-2.103229522705078,0.01,-13.856646819999998,150.0
8144,1292,10,82688,0.0007,-0.10080528259277344,1.818514108657837,1291,-0.7096781134605408,-2.1004397869110107,0.01,-13.856646819999998,150.0
8145,1293,10,82752,0.0007,-0.09302961826324463,0.6896267533302307,1292,-0.5401358604431152,-2.070833206176758,0.01,-13.856646819999998,150.0
8146,1294,10,82816,0.0007,0.04377812147140503,0.8588374853134155,1293,-0.01862403005361557,-2.0694632530212402,0.01,-14.10607039,150.0
8146,1295,10,82880,0.0007,0.9928897619247437,0.16141895949840546,1294,-0.010385002940893173,-2.1067967414855957,0.01,-14.10607039,150.0
8147,1296,10,82944,0.0007,0.6180024147033691,0.5507214069366455,1295,-0.0403703972697258,-2.0819101333618164,0.01,-14.10607039,150.0
8148,1297,10,83008,0.0007,0.8561087846755981,0.39327865839004517,1296,0.2213234156370163,-2.096660614013672,0.01,-14.10607039,150.0
8148,1298,10,83072,0.0007,0.8304836750030518,0.7880247831344604,1297,0.5531500577926636,-2.1071619987487793,0.01,-14.10607039,150.0
8149,1299,10,83136,0.0007,0.7133297324180603,1.732896327972412,1298,1.643210768699646,-2.0929338932037354,0.01,-14.10607039,150.0
8150,1300,10,83200,0.0007,0.728996992111206,2.4262936115264893,1299,2.0782151222229004,-2.089211940765381,0.01,-14.10607039,150.0
8151,1301,10,83264,0.0007,0.8551353216171265,2.267725706100464,1300,0.02083812654018402,-2.0781731605529785,0.01,-14.10607039,150.0
8152,1302,10,83328,0.0007,0.9118340015411377,1.246886968612671,1301,0.40327608585357666,-2.0816614627838135,0.01,-14.10607039,150.0
8153,1303,10,83392,0.0007,0.9391434192657471,0.977967381477356,1302,-0.010516241192817688,-2.0843491554260254,0.01,-14.10607039,150.0
8153,1304,10,83456,0.0007,0.9311627149581909,0.5487404465675354,1303,-0.018060117959976196,-2.076136350631714,0.01,-14.05735573,150.0
8154,1305,10,83520,0.0007,0.9138690233230591,2.096832752227783,1304,-1.6210041046142578,-1.9684805870056152,0.01,-14.05735573,150.0
8155,1306,10,83584,0.0007,0.9274510145187378,0.7626179456710815,1305,-0.9207403063774109,-2.008012294769287,0.01,-14.05735573,150.0
8156,1307,10,83648,0.0007,0.8155959844589233,2.110959529876709,1306,0.9776039123535156,-2.042891025543213,0.01,-14.05735573,150.0
8155,1308,10,83712,0.0007,0.37079674005508423,4.608882427215576,1307,1.5942188501358032,-2.0654361248016357,0.01,-14.05735573,150.0
8154,1309,10,83776,0.0007,0.4214438199996948,3.2316031455993652,1308,1.2139630317687988,-2.0474157333374023,0.01,-14.05735573,150.0
