time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/success_rate,time/iterations,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss
64512,150.0,-2.4115462699999997,5018,12,0.18,63,-1.4711342342197895,0.2,-0.02909894597833045,0.001,-0.0030782558023929596,0.7386682629585266,0.035467755,0.317578125,620,0.4053401884622872
65536,150.0,-2.15715325,5019,13,0.19,64,-1.515296609699726,0.2,-0.030463614588370547,0.001,0.0023414120078086853,0.6272900104522705,0.056910437,0.36025390625,630,0.2632675530621782
66560,150.0,-2.09726585,5021,13,0.2,65,-1.5545868851244449,0.2,-0.027714827109593897,0.001,-0.04996123164892197,0.7542902231216431,0.046639252,0.35654296875,640,0.24734740166459232
67584,150.0,-1.9671042300000006,5024,13,0.2,66,-1.6060026794672013,0.2,-0.033042150706751275,0.001,-0.06626684963703156,0.7213200330734253,0.04010988,0.338671875,650,0.24738265892956407
68608,150.0,-1.6393176200000001,5017,13,0.21,67,-1.653293104469776,0.2,-0.03232348645105958,0.001,0.013491403311491013,0.6428534984588623,0.03149666,0.325,660,0.2507847082102671
69632,150.0,-1.3186159099999997,5016,13,0.21,68,-1.6159814722836017,0.2,-0.021408947475720197,0.001,0.017365381121635437,0.3611038327217102,0.037931513,0.30810546875,670,0.349085854459554
70656,150.0,-0.92771946,5017,14,0.22,69,-1.593337430804968,0.2,-0.028123114531626924,0.001,-0.013029210269451141,0.5891764760017395,0.037410125,0.3505859375,680,0.4206009160261601
71680,150.0,-1.0472891500000001,5018,14,0.22,70,-1.663846241682768,0.2,-0.02876948904595338,0.001,-0.03428833186626434,0.8061631917953491,0.04534223,0.33876953125,690,0.2366826753364876
72704,150.0,-0.7794551200000001,5020,14,0.23,71,-1.6332834415137767,0.2,-0.034208645310718565,0.001,-0.041037775576114655,0.6940165758132935,0.040117845,0.35205078125,700,0.23481005928479134
73728,150.0,-0.7179722000000001,5022,14,0.23,72,-1.627591674029827,0.2,-0.025113588367821647,0.001,-0.008416466414928436,0.7021580934524536,0.039447837,0.3107421875,710,0.3746748782228678
74752,150.0,-0.16707157000000009,5023,14,0.25,73,-1.553129817545414,0.2,-0.035422258591279385,0.001,-0.031208746135234833,0.5742294788360596,0.03602317,0.3220703125,720,0.27094382741488515
