time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/policy_loss,train/explained_variance,train/value_loss,train/learning_rate,train/n_updates,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean
1760,9827,0,88,-2.0261716842651367,-0.6132897138595581,0.1437011957168579,0.08649255335330963,0.0007,87,0.0,-23.436808875,200.0
1780,9827,0,89,-1.9882495403289795,-0.5524609684944153,0.21968716382980347,0.08303767442703247,0.0007,88,0.0,-23.436808875,200.0
1800,9831,0,90,-1.9665358066558838,-0.5831648707389832,0.3163031339645386,0.080020971596241,0.0007,89,0.0,-23.436808875,200.0
1820,9836,0,91,-1.9395723342895508,-0.40913790464401245,0.42622941732406616,0.07547151297330856,0.0007,90,0.0,-23.436808875,200.0
1840,9838,0,92,-1.97564697265625,-0.4963443875312805,0.539351224899292,0.06186820939183235,0.0007,91,0.0,-23.436808875,200.0
1860,9842,0,93,-1.9484180212020874,-0.3928409516811371,0.6483582854270935,0.041438989341259,0.0007,92,0.0,-23.436808875,200.0
1880,9847,0,94,-1.9237655401229858,-0.3349454998970032,0.6571710109710693,0.03437437117099762,0.0007,93,0.0,-23.436808875,200.0
1900,9854,0,95,-1.895592451095581,-0.18683701753616333,0.7015454769134521,0.015965934842824936,0.0007,94,0.0,-23.436808875,200.0
1920,9855,0,96,-1.9183704853057861,-0.1739497184753418,0.5466039180755615,0.013774892315268517,0.0007,95,0.0,-23.436808875,200.0
1940,9857,0,97,-1.9144481420516968,-0.07622114568948746,0.49851536750793457,0.0038499929942190647,0.0007,96,0.0,-23.436808875,200.0
1960,9859,0,98,-1.9393707513809204,-0.044874124228954315,0.18973225355148315,0.001962097827345133,0.0007,97,0.0,-23.436808875,200.0
1980,9862,0,99,-1.9432399272918701,-0.005208924878388643,0.5517474412918091,0.0005828222492709756,0.0007,98,0.0,-23.436808875,200.0
2000,9742,0,100,-1.931097388267517,0.11073055118322372,-0.1921834945678711,0.0038682855665683746,0.0007,99,0.0,-23.436808875,200.0
2020,9740,0,101,-1.953840970993042,0.1216701865196228,0.7093645930290222,0.005017191171646118,0.0007,100,0.0,-23.436808875,200.0
