time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_loss,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean
8488,86848,10,1357,0.6755630970001221,0.0003,0.8014007806777954,1356,-2.106726884841919,-0.34781351685523987,0.0,150.0,-17.42609713
8489,86912,10,1358,0.545635461807251,0.0003,1.3968101739883423,1357,-2.1097660064697266,-0.5952245593070984,0.0,150.0,-17.42609713
8490,86976,10,1359,0.6234204769134521,0.0003,0.48996055126190186,1358,-2.122732639312744,-0.7022297382354736,0.0,150.0,-17.42609713
8490,87040,10,1360,0.1877400279045105,0.0003,1.2363560199737549,1359,-2.124723434448242,0.6534590721130371,0.0,150.0,-17.59789959
8491,87104,10,1361,0.9561982154846191,0.0003,0.9304381608963013,1360,-2.1135387420654297,0.13424205780029297,0.0,150.0,-17.59789959
8492,87168,10,1362,0.8195417523384094,0.0003,1.4536428451538086,1361,-2.103559732437134,-0.2989707589149475,0.0,150.0,-17.59789959
8493,87232,10,1363,0.834202766418457,0.0003,3.6334569454193115,1362,-2.0928354263305664,1.6664870977401733,0.0,150.0,-17.59789959
8494,87296,10,1364,0.8549723029136658,0.0003,1.4637503623962402,1363,-2.0959267616271973,0.49112609028816223,0.0,150.0,-17.59789959
8494,87360,10,1365,0.9001909494400024,0.0003,2.0288782119750977,1364,-2.0983176231384277,0.374340683221817,0.0,150.0,-17.59789959
8495,87424,10,1366,0.9334270358085632,0.0003,0.9009100198745728,1365,-2.0993804931640625,-0.6454976201057434,0.0,150.0,-17.59789959
8496,87488,10,1367,0.8984055519104004,0.0003,0.6274641752243042,1366,-2.103787422180176,0.2674168348312378,0.0,150.0,-17.59789959
8496,87552,10,1368,0.793401837348938,0.0003,0.8852072954177856,1367,-2.088654041290283,-1.5183477401733398,0.0,150.0,-17.59789959
8496,87616,10,1369,0.12650054693222046,0.0003,0.32500338554382324,1368,-2.0940380096435547,-0.5803545117378235,0.0,150.0,-17.336555970000003
8497,87680,10,1370,0.9777390956878662,0.0003,0.4626222550868988,1369,-2.090508460998535,-0.4632304608821869,0.0,150.0,-17.336555970000003
8497,87744,10,1371,0.669838547706604,0.0003,1.5730829238891602,1370,-2.0682520866394043,-1.6036614179611206,0.0,150.0,-17.336555970000003
8498,87808,10,1372,0.6263297200202942,0.0003,2.169678211212158,1371,-2.0689215660095215,1.2060236930847168,0.0,150.0,-17.336555970000003
