rollout/success_rate,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl
0.15,73728,15,150.0,36,4886,-1.48365701,-1.7390682801604271,0.4643292625434697,0.06324058771133423,-0.02501982784306165,0.16806640625,0.7241494655609131,0.0003,350,0.2,0.016882123
0.13,75776,15,150.0,37,4888,-2.03116752,-1.7578419532626868,0.35688270372338593,0.03792929649353027,-0.022047292528441176,0.188720703125,0.5932807922363281,0.0003,360,0.2,0.015047181
0.14,77824,15,150.0,38,4895,-1.6740267000000002,-1.748387375473976,0.346561692818068,0.07148438692092896,-0.02377032528165728,0.172705078125,0.7981973886489868,0.0003,370,0.2,0.016021632
0.13,79872,16,150.0,39,4902,-2.5053825099999996,-1.7437666404992342,0.4577170943375677,0.0629223957657814,-0.026041568935033864,0.183642578125,0.6600827574729919,0.0003,380,0.2,0.0147381965
0.1,81920,16,150.0,40,4887,-2.9300795699999997,-1.6647581145167352,0.3788837997242808,0.03972025588154793,-0.02003901576681528,0.16630859375,0.7373823523521423,0.0003,390,0.2,0.016140452
0.1,83968,17,150.0,41,4885,-2.79042363,-1.7418452233076096,0.5001924813259393,0.08537789434194565,-0.020627553746453486,0.16552734375,0.79355388879776,0.0003,400,0.2,0.015373174
0.1,86016,17,150.0,42,4872,-2.3202898400000005,-1.6725242041051387,0.3663240913534537,0.008305974304676056,-0.023813704823260194,0.19072265625,0.8609526753425598,0.0003,410,0.2,0.01888566
0.12,88064,18,150.0,43,4872,-1.1910333199999998,-1.7097756691277026,0.5088135686237365,0.0567253977060318,-0.01702187134360429,0.14248046875,0.8164831399917603,0.0003,420,0.2,0.012052413
0.12,90112,18,150.0,44,4864,-0.37790355000000003,-1.6708181086927651,0.4487805973971263,0.0831487774848938,-0.024218607760849407,0.18720703125,0.7370219826698303,0.0003,430,0.2,0.017189546
0.14,92160,18,150.0,45,4869,0.67021614,-1.6218834277242422,0.34280408909544346,0.045010924339294434,-0.020705313616781497,0.146826171875,0.7726115584373474,0.0003,440,0.2,0.01609458
0.14,94208,19,150.0,46,4874,1.1729111499999998,-1.6284001357853413,0.33864106100518254,-0.0009881407022476196,-0.023089003760833293,0.169921875,0.7806247472763062,0.0003,450,0.2,0.015456555
0.15,96256,19,150.0,47,4878,1.05489629,-1.659340912476182,0.401805960200727,0.04719056189060211,-0.016584262056858277,0.15302734375,0.716660737991333,0.0003,460,0.2,0.014825198
0.17,98304,20,150.0,48,4882,1.8133287000000002,-1.5833420727401972,0.3445534891448915,0.019850004464387894,-0.016442946347524412,0.152783203125,0.6937389969825745,0.0003,470,0.2,0.013704247
0.17,100352,20,150.0,49,4849,2.52502546,-1.5767231706529856,0.3992900602053851,0.12598448991775513,-0.019266572879860177,0.135888671875,0.7910376787185669,0.0003,480,0.2,0.014187425
