time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
108300,-17.0419,1.9385,-4.6178,0.0
108600,-17.229,1.9074,-4.2595,0.0
108900,-17.1355,1.9117,-5.1665,0.0
109200,-17.0406,1.93,-2.1588,0.0
109500,-17.0505,1.9435,-5.5065,0.0
109800,-17.004,1.909,-3.8303,0.0
110100,-17.1273,1.9548,-3.7194,0.0
110400,-17.5,1.95,-4.9503,0.0
110700,-17.5496,1.9816,-5.4769,0.0
111000,-17.7838,1.9635,-5.0644,0.0
111300,-17.7898,1.9681,-5.5584,0.0
111600,-17.8116,1.9719,-5.223,0.0
111900,-18.0246,1.9752,-5.5941,0.0
112200,-18.3177,1.9163,-4.199,0.0
112500,-18.463,1.9821,-3.9092,0.0
112800,-18.6712,1.9134,-3.6627,0.0
113100,-18.8773,1.9199,-5.2058,0.0
113400,-19.0545,1.8598,-3.3779,0.0
113700,-19.0951,1.9541,-4.1617,0.0
114000,-19.2659,1.8578,-3.3613,0.0
114300,-19.3488,1.8993,-4.4539,0.0
114600,-19.2558,1.7906,-2.1877,0.0
114900,-19.4768,1.8463,-4.3814,0.0
115200,-19.3805,1.9395,-3.7816,0.0
115500,-19.2159,1.8091,-4.1985,0.0
115800,-19.3295,1.8156,-4.4009,0.0
116100,-19.4744,1.7623,-4.3192,0.0
116400,-19.733,1.7726,-4.3394,0.0
116700,-20.0033,1.7104,-3.9917,0.0
117000,-20.2913,1.6386,-3.6783,0.0
117300,-20.4759,1.5752,-3.8801,0.0
117600,-20.4739,1.5496,-3.7888,0.0
117900,-20.6185,1.5502,-3.4334,0.0
118200,-20.6576,1.5978,-4.1625,0.0
118500,-20.8285,1.5641,-3.7432,0.0
118800,-20.7802,1.5986,-3.5726,0.0
119100,-20.9085,1.6186,-3.5806,0.0
119400,-21.105,1.6868,-3.1047,0.0
119700,-21.347,1.61,-3.2641,0.0
120000,-21.562,1.5831,-3.5614,0.0
120300,-21.6591,1.6839,-3.9919,0.0
120600,-21.8919,1.7357,-4.7242,0.0
120900,-22.0021,1.7151,-4.409,0.0
121200,-22.1152,1.7413,-3.4508,0.0
121500,-22.2439,1.8466,-4.841,0.0
121800,-22.3882,1.8245,-4.1914,0.0
122100,-22.6682,1.7794,-4.4233,0.0
122400,-22.5979,1.8192,-4.7804,0.0
122700,-22.633,1.8911,-5.0504,0.0
123000,-22.6508,1.8893,-4.8187,0.0
123300,-22.6405,1.8937,-4.1707,0.0
123600,-22.7252,1.8721,-4.1134,0.0
123900,-22.8347,1.8598,-4.6872,0.0
124200,-23.1127,1.9371,-4.0924,0.0
124500,-23.1816,1.8812,-4.6184,0.0
124800,-23.4551,1.8554,-3.8267,0.0
125100,-23.2051,1.7793,-3.5346,0.0
125400,-23.037,1.8485,-4.1812,0.0
125700,-22.9942,1.8819,-4.044,0.0
126000,-22.8477,1.8619,-4.0237,0.0
126300,-22.7994,1.8887,-3.3326,0.0
126600,-22.7079,1.8969,-4.3357,0.0
126900,-22.7687,1.9372,-5.1496,0.0
127200,-22.4963,1.9064,-5.0873,0.0
127500,-22.3654,1.9113,-4.0974,0.0
127800,-22.3624,1.9201,-4.9847,0.0
128100,-22.3281,1.9513,-6.0495,0.0
128400,-22.3426,1.8912,-4.9431,0.0
128700,-22.4014,1.9419,-4.4098,0.0
129000,-22.4212,1.9611,-4.8884,0.0
129300,-22.3389,1.8775,-3.6491,0.0
129600,-22.372,1.8672,-4.8304,0.0
129900,-22.2357,1.9203,-4.8656,0.0
130200,-22.3651,1.9102,-4.8677,0.0
130500,-22.4195,1.8968,-5.8485,0.0
130800,-22.1889,1.8455,-5.0458,0.0
131100,-22.1684,1.9226,-3.9354,0.0
131400,-21.9915,1.8222,-4.1146,0.0
131700,-21.8347,1.8354,-4.8429,0.0
132000,-21.6937,1.7817,-3.4238,0.0
132300,-21.7822,1.726,-3.777,0.0
132600,-21.6839,1.7079,-5.0324,0.0
132900,-21.3838,1.6704,-4.1672,0.0
133200,-21.3384,1.6464,-3.7658,0.0
133500,-21.239,1.7276,-4.3408,0.0
133800,-21.1083,1.5222,-3.5478,0.0
134100,-21.1174,1.4268,-2.9218,0.0
134400,-21.0819,1.5993,-2.8674,0.0
134700,-21.0187,1.4392,-2.9595,0.0
135000,-21.0376,1.4187,-2.1679,0.0
135300,-21.0902,1.3549,-3.2089,0.0
135600,-21.2274,1.3892,-2.6329,0.0
135900,-21.1315,1.168,-3.0894,0.0
136200,-20.9467,1.1731,-2.0479,0.0
136500,-20.8901,1.249,-3.0464,0.0
136800,-20.8901,1.1793,-2.0611,0.0
137100,-20.8541,1.1613,-2.9126,0.0
137400,-20.9659,1.0896,-1.9643,0.0
137700,-20.8674,1.0701,-2.0065,0.0
138000,-20.9274,1.2198,-2.8151,0.0
138300,-21.0277,1.1901,-2.894,0.0
138600,-21.1027,1.2588,-2.5521,0.0
138900,-21.1481,1.2657,-2.4886,0.0
139200,-21.1552,1.3734,-2.9222,0.0
139500,-21.1144,1.3322,-3.4104,0.0
139800,-21.109,1.361,-2.8508,0.0
140100,-21.2663,1.3607,-3.1651,0.0
140400,-21.376,1.3289,-2.8562,0.0
140700,-21.6,1.2919,-3.0914,0.0
141000,-21.7424,1.2988,-3.679,0.0
141300,-21.7792,1.2776,-2.4148,0.0
141600,-21.8647,1.1848,-2.5795,0.0
141900,-21.8809,1.2894,-2.848,0.0
142200,-22.1226,1.3699,-1.8485,0.0
142500,-22.3335,1.2737,-2.6429,0.0
142800,-22.5758,1.3126,-2.8815,0.0
143100,-22.6024,1.325,-2.4486,0.0
143400,-22.7024,1.4049,-2.9122,0.0
143700,-22.6019,1.3303,-2.1309,0.0
144000,-22.5786,1.4391,-2.4424,0.0
144300,-22.7523,1.5031,-2.875,0.0
144600,-22.8728,1.5125,-3.3201,0.0
144900,-22.9104,1.5705,-2.9281,0.0
145200,-23.1052,1.638,-2.8245,0.0
145500,-23.214,1.5971,-3.4015,0.0
145800,-23.4073,1.6101,-4.3217,0.0
146100,-23.2198,1.5648,-3.2554,0.0
146400,-23.1992,1.6292,-2.7494,0.0
146700,-23.3384,1.6762,-4.0906,0.0
147000,-23.2759,1.6227,-3.439,0.0
147300,-23.1879,1.6507,-4.3063,0.0
147600,-23.2737,1.6417,-4.2632,0.0
147900,-23.2482,1.5976,-4.8207,0.0
148200,-23.0557,1.5997,-3.0277,0.0
148500,-23.2479,1.664,-4.356,0.0
148800,-23.3532,1.674,-4.1733,0.0
149100,-23.3123,1.6763,-3.7607,0.0
149400,-23.239,1.6499,-4.4089,0.0
149700,-23.3558,1.694,-4.1163,0.0
150000,-23.2704,1.6299,-4.1881,0.0
150300,-23.3223,1.6703,-3.8182,0.0
150600,-23.2991,1.6024,-4.0615,0.0
150900,-23.3816,1.533,-3.4916,0.0
151200,-23.4043,1.6211,-3.3598,0.0
151500,-23.5502,1.6746,-3.9153,0.0
151800,-23.4365,1.6031,-3.6108,0.0
152100,-23.5305,1.6089,-4.2474,0.0
152400,-23.4626,1.578,-3.2289,0.0
152700,-23.6371,1.5878,-4.3862,0.0
153000,-23.6683,1.559,-4.3507,0.0
153300,-23.5788,1.5746,-4.5023,0.0
153600,-23.4051,1.4621,-4.2053,0.0
153900,-23.2399,1.4667,-4.2451,0.0
154200,-23.1192,1.4389,-3.3347,0.0
154500,-23.2088,1.4289,-3.1002,0.0
154800,-23.3075,1.4728,-3.7485,0.0
155100,-23.4668,1.5224,-3.775,0.0
155400,-23.5981,1.5097,-4.5784,0.0
155700,-23.6661,1.5081,-3.6187,0.0
156000,-23.7023,1.47,-3.4566,0.0
156300,-23.8026,1.5138,-3.8857,0.0
156600,-23.7771,1.4942,-2.6401,0.0
156900,-23.7436,1.4944,-3.6013,0.0
157200,-23.8397,1.5464,-3.9424,0.0
157500,-23.9484,1.6148,-4.1574,0.0
157800,-23.8504,1.6074,-3.2153,0.0
158100,-23.8403,1.5737,-3.931,0.0
158400,-23.7057,1.5547,-2.89,0.0
158700,-23.9667,1.6097,-3.8404,0.0
159000,-24.0538,1.6987,-4.2405,0.0
159300,-23.9018,1.6651,-3.3164,0.0
159600,-23.8732,1.6203,-3.9453,0.0
159900,-24.0769,1.7073,-3.7144,0.0
160200,-24.0003,1.7447,-3.7031,0.0
160500,-23.9861,1.6898,-4.5253,0.0
160800,-23.8927,1.739,-4.6093,0.0
161100,-23.9837,1.7764,-4.3845,0.0
161400,-24.1022,1.7856,-4.406,0.0
161700,-23.9121,1.7699,-4.5531,0.0
162000,-23.9381,1.8848,-4.8393,0.0
162300,-23.9384,1.9128,-4.8417,0.0
162600,-23.8132,1.826,-4.3403,0.0
162900,-23.9344,1.8937,-3.7617,0.0
163200,-24.0219,1.9171,-4.0645,0.0
163500,-24.0178,1.8211,-4.8557,0.0
163800,-23.7834,1.9585,-3.3772,0.0
164100,-23.8722,1.8351,-4.8437,0.0
164400,-23.7183,1.9843,-5.2329,0.0
164700,-23.4246,2.0148,-3.2168,0.0
165000,-23.4344,1.9998,-5.714,0.0
165300,-23.2669,2.0265,-5.1661,0.0
165600,-23.0833,2.0185,-4.8874,0.0
165900,-23.0173,2.0185,-5.3633,0.0
166200,-22.7754,2.0359,-2.885,0.0
166500,-22.5192,2.0563,-6.0187,0.0
166800,-22.375,2.0136,-6.1627,0.0
167100,-22.0784,2.0482,-3.1914,0.0
167400,-22.0347,2.0141,-3.6723,0.0
167700,-22.0136,2.0597,-5.5779,0.0
168000,-21.8223,2.0861,-4.6362,0.0
168300,-21.6288,2.0593,-2.9561,0.0
168600,-21.7011,2.0536,-5.5406,0.0
168900,-21.7163,2.1401,-3.6936,0.0
169200,-21.6694,2.0666,-6.8225,0.0
169500,-21.5524,2.0697,-3.9409,0.0
169800,-21.2795,2.1227,-4.8959,0.0
170100,-20.9428,2.1048,-4.7544,0.0
170400,-20.7598,2.1222,-6.8671,0.0
170700,-20.3397,2.1218,-2.9729,0.0
171000,-20.0899,2.0957,-2.8835,0.0
171300,-19.7984,2.109,-4.9735,0.0
171600,-19.7716,2.1228,-5.6321,0.0
171900,-19.6006,2.0923,-4.1755,0.0
172200,-19.2497,2.0895,-2.8594,0.0
172500,-18.8601,2.1106,-2.4175,0.0
172800,-18.5154,2.1184,-5.1137,0.0
173100,-18.3517,2.1062,-4.4307,0.0
173400,-18.3712,2.0917,-5.808,0.0
173700,-18.211,2.0874,-5.3664,0.0
174000,-18.1043,2.1141,-3.9506,0.0
174300,-17.9095,2.0199,-3.369,0.0
174600,-17.8156,2.0943,-3.8729,0.0
